"PLANTCODE_CONSTRAINT_ID","ORDER_ID","FREIGHT_RATES_ID","PORTCARRIER_ID","PLANTPRODCUST_ID","MIN_WEIGHT_QUANT","MAX_WEIGHT_QUANT","MIN_COST","RATE","TPT_DAY_COUNT","COST_PER_UNIT","DAILY_CAPACITY","SHIP_AHEAD_DAY_COUNT","SHIP_LATE_DAY_COUNT","UNIT_QUANT","WEIGHT","LOCATION_ID","DEST_PORT_LOCATION_ID","ORIG_PORT_LOCATION_ID","PLANT_LOCATION_ID"
,,2897,,,67,68,10,6,2,,,,,,,,,,
,,2898,,,68,68,10,5,2,,,,,,,,,,
,,2899,,,68,69,10,7,2,,,,,,,,,,
,,2900,,,69,69,10,6,2,,,,,,,,,,
,,2901,,,69,70,10,5,2,,,,,,,,,,
,,2902,,,70,70,10,3,2,,,,,,,,,,
,,2903,,,70,71,10,3,2,,,,,,,,,,
,,2904,,,71,71,10,5,2,,,,,,,,,,
,,2905,,,71,72,10,7,2,,,,,,,,,,
,,2906,,,72,72,10,7,2,,,,,,,,,,
,,2907,,,72,73,11,4,2,,,,,,,,,,
,,2908,,,73,73,11,4,2,,,,,,,,,,
,,2909,,,73,74,11,5,2,,,,,,,,,,
,,2910,,,74,74,11,7,2,,,,,,,,,,
,,2911,,,74,75,11,6,2,,,,,,,,,,
,,2912,,,75,75,11,5,2,,,,,,,,,,
,,2913,,,75,100000,11,0,2,,,,,,,,,,
,,2914,,,0,1,1,0,2,,,,,,,,,,
,,2915,,,1,1,1,0,2,,,,,,,,,,
,,2916,,,1,2,2,1,2,,,,,,,,,,
,,2917,,,2,2,2,1,2,,,,,,,,,,
,,2918,,,2,3,2,1,2,,,,,,,,,,
,,2919,,,3,3,2,1,2,,,,,,,,,,
,,2920,,,3,4,2,1,2,,,,,,,,,,
,,2921,,,4,4,2,1,2,,,,,,,,,,
,,2922,,,4,5,2,1,2,,,,,,,,,,
,,2923,,,5,5,2,1,2,,,,,,,,,,
,,2924,,,5,6,2,1,2,,,,,,,,,,
,,2925,,,6,6,2,1,2,,,,,,,,,,
,,2926,,,6,7,2,1,2,,,,,,,,,,
,,2927,,,7,7,2,1,2,,,,,,,,,,
,,2928,,,7,8,2,1,2,,,,,,,,,,
,,2929,,,8,8,2,1,2,,,,,,,,,,
,,2930,,,8,9,2,1,2,,,,,,,,,,
,,2931,,,9,9,2,1,2,,,,,,,,,,
,,2932,,,9,10,3,1,2,,,,,,,,,,
,,2933,,,10,10,3,1,2,,,,,,,,,,
,,2934,,,10,11,3,1,2,,,,,,,,,,
,,2935,,,11,11,3,1,2,,,,,,,,,,
,,2936,,,11,12,3,1,2,,,,,,,,,,
,,2937,,,12,12,3,1,2,,,,,,,,,,
,,2938,,,12,13,3,1,2,,,,,,,,,,
,,2939,,,13,13,3,1,2,,,,,,,,,,
,,2940,,,13,14,3,1,2,,,,,,,,,,
,,2941,,,14,14,3,1,2,,,,,,,,,,
,,2942,,,14,15,3,1,2,,,,,,,,,,
