"PORTS","PLANTCODE_CONSTRAINT_ID","PLANTPRODCUST_ID","LOCATION_ID"
"",2,5432,
"",3,5433,
"",5,5435,
"",6,5436,
"",7,5437,
"",8,5438,
"",10,5440,
"",11,5441,
"",12,5442,
"",13,5443,
"",15,5445,
"",16,5446,
"",18,5448,
"",19,5449,
"",21,5451,
"",22,5452,
"",23,5453,
"",24,5454,
"",26,5456,
"",27,5457,
"",28,5458,
"",29,5459,
"",31,5461,
"",32,5462,
"",34,5464,
"",35,5465,
"",37,5467,
"",38,5468,
"",39,5469,
"",40,5470,
"",42,5472,
"",43,5473,
"",44,5474,
"",45,5475,
"",47,5477,
"",48,5478,
"",50,5480,
"",51,5481,
"",53,5483,
"",54,5484,
"",55,5485,
"",56,5486,
"",58,5488,
"",59,5489,
"",60,5490,
"",61,5491,
"",63,5493,
"",64,5494,
"",66,5496,
"",67,5497,
"",69,5499,
"",70,5500,
"",71,5501,
"",72,5502,
"",74,5504,
"",75,5505,
"",76,5506,
"",77,5507,
"",79,5509,
"",80,5510,
"",82,5512,
"",83,5513,
"",85,5515,
"",86,5516,
"",87,5517,
"",88,5518,
"",90,5520,
"",91,5521,
"",92,5522,
"",93,5523,
"",95,5525,
"",96,5526,
"",98,5528,
"",99,5529,
"",101,5531,
"",102,5532,
"",103,5533,
"",104,5534,
"",106,5536,
"",107,5537,
"",108,5538,
"",109,5539,
"",111,5541,
"",112,5542,
"",114,5544,
"",115,5545,
"",117,5547,
"",118,5548,
"",119,5549,
"",120,5550,
"",121,5551,
"",123,5553,
"",124,5554,
"",125,5555,
"",126,5556,
"",128,5558,
"",129,5559,
"",131,5561,
"",132,5562,
"",134,5564,
"",135,5565,
"",136,5566,
"",137,5567,
"",139,5569,
"",140,5570,
"",141,5571,
"",142,5572,
"",143,5573,
"",145,5575,
"",146,5576,
"",148,5578,
"",149,5579,
"",151,5581,
"",153,5582,
"",154,5583,
"",156,5584,
"",159,5586,
"",161,5587,
"",162,5588,
"",164,5589,
"",167,5591,
"",169,5592,
"",170,5593,
"",174,5595,
"",175,5596,
"",178,5598,
"",180,5599,
"",182,5600,
"",183,5601,
"",186,5603,
"",188,5604,
"",190,5605,
"",191,5606,
"",195,5608,
"",196,5609,
"",198,5610,
"",201,5612,
"",203,5613,
"",206,5615,
"",207,5616,
"",209,5617,
"",211,5618,
"",214,5620,
"",215,5621,
"",217,5622,
"",219,5623,
"",222,5625,
"",223,5626,
"",225,5627,
"",228,5629,
"",231,5631,
"",233,5632,
"",235,5633,
"",236,5634,
"",238,5635,
"",241,5637,
"",243,5638,
"",244,5639,
"",246,5640,
"",249,5642,
"",251,5643,
"",252,5644,
"",255,5646,
"",259,5648,
"",260,5649,
"",262,5650,
"",263,5651,
"",267,5653,
"",268,5654,
"",270,5655,
"",271,5656,
"",273,5657,
"",276,5659,
"",278,5660,
"",281,5662,
"",283,5663,
"",286,5665,
"",287,5666,
"",289,5667,
"",291,5668,
"",294,5670,
"",295,5671,
"",297,5672,
"",299,5673,
"",302,5675,
"",303,5676,
"",305,5677,
"",308,5679,
"",311,5681,
"",313,5682,
"",314,5683,
"",316,5684,
"",318,5685,
"",321,5687,
"",322,5688,
"",324,5689,
"",326,5690,
"",329,5692,
"",330,5693,
"",332,5694,
"",335,5696,
"",338,5698,
"",340,5699,
"",342,5700,
"",343,5701,
"",345,5702,
"",347,5704,
"",348,5705,
"",349,5706,
"",350,5707,
"",351,5708,
"",352,5709,
"",354,5711,
"",355,5712,
"",356,5713,
"",357,5714,
"",359,5716,
"",360,5717,
"",363,5720,
"",364,5721,
"",366,5704,
"",367,5705,
"",368,5706,
"",370,5708,
"",371,5709,
"",372,5710,
"",373,5711,
"",376,5714,
"",377,5715,
"",379,5717,
"",380,5718,
"",382,5720,
"",383,5721,
"",384,5722,
"",385,5723,
"",387,5725,
"",388,5726,
"",389,5727,
"",390,5728,
"",391,5729,
"",392,5730,
"",393,5731,
"",395,5733,
"",397,5735,
"",398,5736,
"",399,5737,
"",400,5738,
"",401,5739,
"",402,5740,
"",403,5741,
"",405,5743,
"",406,5744,
"",408,5746,
"",409,5747,
"",410,5748,
"",411,5749,
"",413,5751,
"",414,5752,
"",415,5753,
"",416,5754,
"",418,5756,
"",419,5757,
"",420,5758,
"",422,5760,
"",424,5762,
"",425,5763,
"",426,5764,
"",427,5765,
"",428,5766,
"",430,5768,
"",431,5769,
"",432,5770,
"",433,5771,
"",435,5773,
"",436,5774,
"",437,5775,
"",439,5777,
"",441,5262,
"",442,5263,
"",443,5264,
"",444,5265,
"",446,5267,
"",447,5268,
"",448,5269,
"",449,5270,
"",450,5271,
"",452,5273,
"",453,5274,
"",454,5275,
"",456,5277,
"",458,5279,
"",459,5280,
"",460,5281,
"",461,5282,
"",463,5284,
"",464,5285,
"",465,5286,
"",466,5287,
"",468,5289,
"",469,5290,
"",470,5291,
"",471,5292,
"",473,5294,
"",475,5296,
"",477,5297,
"",478,5298,
"",480,5299,
"",483,5301,
"",485,5302,
"",486,5303,
"",488,5304,
"",491,5306,
"",493,5307,
"",494,5308,
"",496,5309,
"",501,5312,
"",502,5313,
"",504,5314,
"",505,5315,
"",507,5316,
"",510,5318,
"",512,5319,
"",513,5320,
"",515,5321,
"",518,5323,
"",520,5324,
"",521,5325,
"",523,5326,
"",528,5329,
"",529,5330,
"",531,5331,
"",533,5332,
"",536,5334,
"",537,5335,
"",539,5336,
"",541,5337,
"",544,5339,
"",545,5340,
"",547,5341,
"",549,5342,
"",550,5343,
"",555,5346,
"",557,5347,
"",558,5348,
"",560,5349,
"",563,5351,
"",565,5352,
"",566,5353,
"",568,5354,
"",571,5356,
"",573,5357,
"",574,5358,
"",576,5359,
"",581,5362,
"",582,5363,
"",584,5364,
"",585,5365,
"",587,5366,
"",590,5368,
"",592,5369,
"",593,5370,
"",595,5371,
"",598,5373,
"",600,5374,
"",601,5375,
"",603,5376,
"",608,5379,
"",609,5380,
"",611,5381,
"",613,5382,
"",616,5384,
"",617,5385,
"",619,5386,
"",621,5387,
"",622,5388,
"",625,5390,
"",627,5391,
"",629,5392,
"",630,5393,
"",635,5396,
"",637,5397,
"",638,5398,
"",640,5399,
"",643,5401,
"",645,5402,
"",646,5403,
"",648,5404,
"",651,5406,
"",653,5407,
"",654,5408,
"",656,5409,
"",657,5410,
"",662,5413,
"",664,5414,
"",665,5415,
"",667,5416,
"",670,5418,
"",672,5419,
"",673,5420,
"",675,5421,
"",678,5423,
"",680,5424,
"",681,5425,
"",683,5426,
"",686,5428,
"",689,5430,
"",691,6321,
"",693,6322,
"",695,6324,
"",696,6325,
"",697,6326,
"",698,6327,
"",700,6329,
"",701,6330,
"",702,6331,
"",703,6332,
"",705,6334,
"",706,6335,
"",707,6336,
"",709,6338,
"",711,6340,
"",712,6341,
"",713,6342,
"",714,6343,
"",715,6344,
"",717,6346,
"",718,6347,
"",719,6348,
"",720,6349,
"",722,6351,
"",723,6352,
"",724,6353,
"",726,6355,
"",728,6357,
"",729,6358,
"",730,6359,
"",731,6360,
"",733,6362,
"",734,6363,
"",735,6364,
"",736,6365,
"",737,6366,
"",739,6368,
"",740,6369,
"",741,6370,
"",743,6372,
"",745,6374,
"",746,6375,
"",747,6376,
"",748,6377,
"",750,6379,
"",751,6380,
"",752,6381,
"",753,6382,
"",755,6384,
"",756,6385,
"",757,6386,
"",758,6387,
"",760,6389,
"",762,6391,
"",763,6392,
"",764,6393,
"",765,6394,
"",767,6396,
"",768,6397,
"",769,6398,
"",770,6399,
"",772,6401,
"",773,6402,
"",774,6403,
"",775,6404,
"",778,6407,
"",779,6408,
"",780,6409,
"",781,6410,
"",782,6411,
"",784,6413,
"",785,6414,
"",786,6415,
"",787,6416,
"",789,6418,
"",790,6419,
"",791,6420,
"",792,6421,
"",795,6424,
"",796,6425,
"",797,6426,
"",798,6427,
"",800,6429,
"",801,6430,
"",802,6431,
"",803,6432,
"",804,6433,
"",806,6435,
"",807,6436,
"",808,6437,
"",809,6438,
"",812,6441,
"",813,6442,
"",814,6443,
"",815,6444,
"",817,6446,
"",818,6447,
"",819,6448,
"",820,6449,
"",822,6451,
"",823,6452,
"",824,6453,
"",825,6454,
"",826,6455,
"",831,6458,
"",832,6459,
"",834,6460,
"",835,6461,
"",839,6463,
"",840,6464,
"",842,6465,
"",843,6466,
"",847,6468,
"",848,6469,
"",850,6470,
"",851,6471,
"",856,6474,
"",858,6475,
"",859,6476,
"",861,6477,
"",863,6478,
"",866,6480,
"",867,6481,
"",869,6482,
"",871,6483,
"",874,6485,
"",875,6486,
"",877,6487,
"",879,6488,
"",883,6491,
"",885,6492,
"",887,6493,
"",888,6494,
"",891,6496,
"",893,6497,
"",895,6498,
"",896,6499,
"",898,6500,
"",901,6502,
"",903,6503,
"",904,6504,
"",906,6505,
"",911,6508,
"",912,6509,
"",914,6510,
"",915,6511,
"",919,6513,
"",920,6514,
"",922,6515,
"",923,6516,
"",925,6517,
"",928,6519,
"",930,6520,
"",931,6521,
"",933,6522,
"",938,6525,
"",939,6526,
"",941,6527,
