"PLANTCODE_CONSTRAINT_ID","PLANTPRODCUST_ID","PORT_LOCATION_ID"
2,5705,
3,5706,
4,5707,
5,5708,
7,5710,
8,5711,
9,5712,
11,5714,
13,5716,
14,5717,
15,5718,
16,5719,
18,5721,
19,5722,
20,5723,
21,5724,
23,5726,
24,5727,
25,5728,
27,5730,
29,5732,
30,5733,
31,5734,
32,5735,
34,5737,
35,5738,
36,5739,
37,5740,
39,5742,
40,5743,
41,5744,
43,5746,
45,5748,
46,5749,
47,5750,
48,5751,
50,5753,
51,5754,
52,5755,
53,5756,
55,5758,
56,5759,
57,5760,
59,5762,
61,5764,
62,5765,
63,5766,
64,5767,
66,5769,
67,5770,
68,5771,
69,5772,
71,5774,
72,5775,
73,5776,
75,5778,
77,5780,
78,5781,
79,5782,
80,5783,
82,5785,
83,5786,
84,5787,
85,5788,
87,5790,
88,5791,
89,5792,
91,5794,
93,5796,
94,5797,
95,5798,
96,5799,
98,5801,
99,5802,
100,5803,
101,5804,
103,5806,
104,5807,
105,5808,
107,5810,
109,5812,
110,5813,
111,5814,
112,5815,
113,5816,
115,5818,
116,5819,
117,5820,
118,5821,
120,5823,
121,5824,
122,5825,
124,5827,
126,5829,
127,5830,
128,5831,
129,5832,
131,5834,
132,5835,
133,5836,
134,5837,
135,5838,
137,5840,
138,5841,
139,5842,
141,5844,
143,5846,
144,5847,
145,5848,
146,5849,
148,5851,
149,5852,
150,5853,
151,5854,
153,5856,
154,5857,
156,5858,
157,5859,
161,5861,
164,5863,
165,5864,
167,5865,
169,5866,
172,5198,
173,5199,
175,5200,
177,5201,
180,5203,
181,5204,
183,5205,
185,5206,
188,5208,
191,5210,
193,5211,
194,5212,
196,5213,
199,5215,
201,5216,
202,5217,
204,5218,
207,5220,
209,5221,
210,5222,
212,5223,
217,5226,
218,5227,
220,5228,
221,5229,
223,5230,
226,5232,
228,5233,
229,5234,
231,5235,
234,5237,
236,5238,
237,5239,
239,5240,
244,5243,
245,5244,
247,5245,
249,5246,
252,5248,
253,5249,
255,5250,
257,5251,
258,5252,
261,5254,
263,5255,
265,5256,
266,5257,
271,5260,
273,5261,
274,5262,
276,5263,
279,5265,
281,5266,
282,5267,
284,5268,
287,5270,
289,5271,
290,5272,
292,5273,
293,5274,
298,5277,
300,5278,
301,5279,
303,5280,
306,5282,
308,5283,
309,5284,
311,5285,
314,5287,
316,5288,
317,5289,
319,5290,
324,5293,
325,5294,
327,5295,
329,5296,
330,5297,
333,5299,
335,5300,
337,5301,
338,5302,
341,5304,
343,5305,
345,5306,
347,5308,
349,5310,
350,5311,
351,5312,
352,5313,
354,5315,
355,5316,
356,5317,
357,5318,
359,5320,
360,5321,
361,5322,
362,5323,
364,5325,
366,5327,
367,5328,
368,5329,
369,5330,
371,5332,
372,5333,
373,5334,
374,5335,
376,5337,
377,5338,
378,5339,
379,5340,
382,5343,
383,5344,
384,5345,
385,5346,
386,5347,
388,5349,
389,5350,
390,5351,
391,5352,
393,5354,
394,5355,
395,5356,
396,5357,
399,5360,
400,5361,
401,5362,
402,5363,
404,5365,
405,5366,
406,5367,
407,5368,
408,5369,
410,5371,
411,5372,
412,5373,
413,5374,
416,5377,
417,5378,
418,5379,
419,5380,
421,5382,
422,5383,
423,5384,
424,5385,
426,5387,
427,5388,
428,5389,
429,5390,
432,5393,
433,5394,
434,5395,
435,5396,
436,5397,
438,5399,
