CUSTOMERS,CUSTOMERS_SH
V55_13,Customer_01
V55_37,Customer_02
V55_39,Customer_03
V55_47,Customer_04
V555_15,Customer_05
V555_41,Customer_06
V5555_20,Customer_07
V5555_25,Customer_08
V5555_33,Customer_09
V5555_36,Customer_10
V5555_38,Customer_11
V55555_10,Customer_12
V55555_2,Customer_13
V55555_26,Customer_14
V55555_4,Customer_15
V55555_53,Customer_16
V555555_11,Customer_17
V555555_24,Customer_18
V555555_34,Customer_19
V555555_40,Customer_20
V555555_6,Customer_21
V5555555_12,Customer_22
V5555555_19,Customer_23
V5555555_22,Customer_24
V5555555_30,Customer_25
V55555555_0,Customer_26
V55555555_32,Customer_27
V55555555_5,Customer_28
V55555555_7,Customer_29
V55555555_9,Customer_30
V555555555_14,Customer_31
V555555555_27,Customer_32
V555555555_3,Customer_33
V555555555_35,Customer_34
V5555555555_1,Customer_35
V55555555555_28,Customer_36
V555555555555_31,Customer_37
V5555555555555_16,Customer_38
V55555555555555_8,Customer_39
V555555555555555_18,Customer_40
V555555555555555_23,Customer_41
V555555555555555_29,Customer_42
V555555555555555_44,Customer_43
V555555555555555555_17,Customer_44
V555555555555555555_42,Customer_45
V555555555555555555_45,Customer_46
V555555555555555555_46,Customer_47
V5555555555555555555_54,Customer_48
