DATE_ID,ORDER_ID,ORDER_DATE,MONTH_NUM,MONTH_NAME,QUARTER,YEAR_
1,1447352018,6/10/18,6,Jun,2,2018
2,1447352020,4/24/18,4,Apr,2,2018
3,1447205762,9/20/18,9,Sep,3,2018
4,1447205763,5/25/18,5,May,2,2018
5,1447370682,6/30/18,6,Jun,2,2018
6,1447372963,12/21/18,12,Dec,4,2018
7,1447182403,8/9/18,8,Aug,3,2018
8,1447234949,7/26/18,7,Jul,3,2018
9,1447178062,9/21/18,9,Sep,3,2018
10,1447388729,6/16/18,6,Jun,2,2018
11,1447392217,1/19/18,1,Jan,1,2018
12,1447193187,6/15/18,6,Jun,2,2018
13,1447353695,12/7/18,12,Dec,4,2018
14,1447352524,4/22/18,4,Apr,2,2018
15,1447182398,2/5/18,2,Feb,1,2018
16,1447278497,12/20/18,12,Dec,4,2018
17,1447255584,11/5/18,11,Nov,4,2018
18,1447332136,11/28/18,11,Nov,4,2018
19,1447366887,7/25/18,7,Jul,3,2018
20,1447234950,9/15/18,9,Sep,3,2018
21,1447213261,6/21/18,6,Jun,2,2018
22,1447201702,1/7/18,1,Jan,1,2018
23,1447201700,5/18/18,5,May,2,2018
24,1447182394,11/22/18,11,Nov,4,2018
25,1447178243,11/13/18,11,Nov,4,2018
26,1447182393,10/20/18,10,Oct,4,2018
27,1447362579,7/9/18,7,Jul,3,2018
28,1447410884,11/2/18,11,Nov,4,2018
29,1447373506,1/29/18,1,Jan,1,2018
30,1447393109,12/31/18,12,Dec,4,2018
31,1447205898,8/8/18,8,Aug,3,2018
32,1447261157,12/27/18,12,Dec,4,2018
33,1447283772,7/24/18,7,Jul,3,2018
34,1447216710,9/27/18,9,Sep,3,2018
35,1447302786,1/25/18,1,Jan,1,2018
36,1447283727,1/28/18,1,Jan,1,2018
37,1447373433,1/14/18,1,Jan,1,2018
38,1447389131,5/17/18,5,May,2,2018
39,1447208346,7/12/18,7,Jul,3,2018
40,1447266883,8/31/18,8,Aug,3,2018
41,1447373503,5/15/18,5,May,2,2018
42,1447401850,3/27/18,3,Mar,1,2018
43,1447373491,5/10/18,5,May,2,2018
44,1447373510,6/17/18,6,Jun,2,2018
45,1447305018,8/11/18,8,Aug,3,2018
46,1447373481,2/11/18,2,Feb,1,2018
47,1447305017,1/2/18,1,Jan,1,2018
48,1447373453,6/11/18,6,Jun,2,2018
49,1447186295,5/13/18,5,May,2,2018
50,1447201982,6/10/18,6,Jun,2,2018
51,1447219347,11/27/18,11,Nov,4,2018
52,1447186299,1/15/18,1,Jan,1,2018
53,1447186296,12/30/18,12,Dec,4,2018
54,1447201983,12/27/18,12,Dec,4,2018
55,1447201985,6/30/18,6,Jun,2,2018
56,1447219348,12/12/18,12,Dec,4,2018
57,1447302857,7/16/18,7,Jul,3,2018
58,1447373488,9/30/18,9,Sep,3,2018
59,1447399142,3/23/18,3,Mar,1,2018
60,1447373487,10/22/18,10,Oct,4,2018
61,1447399141,5/28/18,5,May,2,2018
62,1447373486,1/6/18,1,Jan,1,2018
63,1447373464,12/18/18,12,Dec,4,2018
64,1447219344,11/21/18,11,Nov,4,2018
65,1447373480,8/4/18,8,Aug,3,2018
66,1447373479,11/13/18,11,Nov,4,2018
67,1447305011,4/10/18,4,Apr,2,2018
68,1447402615,7/4/18,7,Jul,3,2018
69,1447402565,1/17/18,1,Jan,1,2018
70,1447402566,11/21/18,11,Nov,4,2018
71,1447312218,4/28/18,4,Apr,2,2018
72,1447309077,1/22/18,1,Jan,1,2018
73,1447403222,11/25/18,11,Nov,4,2018
74,1447403221,5/12/18,5,May,2,2018
75,1447373476,8/6/18,8,Aug,3,2018
76,1447179686,12/24/18,12,Dec,4,2018
77,1447373461,1/29/18,1,Jan,1,2018
78,1447373421,1/30/18,1,Jan,1,2018
79,1447306774,9/11/18,9,Sep,3,2018
80,1447309551,11/13/18,11,Nov,4,2018
81,1447390885,2/14/18,2,Feb,1,2018
82,1447375215,9/2/18,9,Sep,3,2018
83,1447301467,3/3/18,3,Mar,1,2018
84,1447229098,9/20/18,9,Sep,3,2018
85,1447392971,12/31/18,12,Dec,4,2018
86,1447373492,2/24/18,2,Feb,1,2018
87,1447390899,1/9/18,1,Jan,1,2018
88,1447296447,1/24/18,1,Jan,1,2018
89,1447158015,7/6/18,7,Jul,3,2018
90,1447138899,1/9/18,1,Jan,1,2018
91,1447363528,2/21/18,2,Feb,1,2018
92,1447363981,1/3/18,1,Jan,1,2018
93,1447351441,4/14/18,4,Apr,2,2018
94,1447320236,6/28/18,6,Jun,2,2018
95,1447158019,5/28/18,5,May,2,2018
96,1447219341,2/9/18,2,Feb,1,2018
97,1447398416,8/8/18,8,Aug,3,2018
98,1447381679,2/26/18,2,Feb,1,2018
99,1447170785,9/18/18,9,Sep,3,2018
100,1447155056,4/17/18,4,Apr,2,2018
101,1447257265,8/29/18,8,Aug,3,2018
102,1447240989,12/9/18,12,Dec,4,2018
103,1447257231,11/25/18,11,Nov,4,2018
104,1447260653,8/3/18,8,Aug,3,2018
105,1447139375,5/10/18,5,May,2,2018
106,1447308590,4/15/18,4,Apr,2,2018
107,1447191271,5/5/18,5,May,2,2018
108,1447191284,5/23/18,5,May,2,2018
109,1447352426,2/10/18,2,Feb,1,2018
110,1447211829,5/21/18,5,May,2,2018
111,1447232833,5/23/18,5,May,2,2018
112,1447205081,7/30/18,7,Jul,3,2018
113,1447365980,1/19/18,1,Jan,1,2018
114,1447157118,10/12/18,10,Oct,4,2018
115,1447398413,3/27/18,3,Mar,1,2018
116,1447377319,12/29/18,12,Dec,4,2018
117,1447257239,11/6/18,11,Nov,4,2018
118,1447368959,3/25/18,3,Mar,1,2018
119,1447308591,9/30/18,9,Sep,3,2018
120,1447398479,3/27/18,3,Mar,1,2018
121,1447377316,2/2/18,2,Feb,1,2018
122,1447365993,1/21/18,1,Jan,1,2018
123,1447223051,12/29/18,12,Dec,4,2018
124,1447260686,4/1/18,4,Apr,2,2018
125,1447299202,5/31/18,5,May,2,2018
126,1447330061,3/1/18,3,Mar,1,2018
127,1447260670,9/24/18,9,Sep,3,2018
128,1447157119,4/6/18,4,Apr,2,2018
129,1447205082,4/23/18,4,Apr,2,2018
130,1447398412,4/26/18,4,Apr,2,2018
131,1447257238,8/22/18,8,Aug,3,2018
132,1447241003,11/13/18,11,Nov,4,2018
133,1447398481,8/20/18,8,Aug,3,2018
134,1447398420,6/1/18,6,Jun,2,2018
135,1447308592,7/28/18,7,Jul,3,2018
136,1447241005,12/3/18,12,Dec,4,2018
137,1447191288,1/14/18,1,Jan,1,2018
138,1447232831,11/7/18,11,Nov,4,2018
139,1447377317,2/11/18,2,Feb,1,2018
140,1447211552,7/26/18,7,Jul,3,2018
141,1447257266,9/12/18,9,Sep,3,2018
142,1447365979,12/3/18,12,Dec,4,2018
143,1447299203,5/1/18,5,May,2,2018
144,1447257425,6/7/18,6,Jun,2,2018
145,1447260633,7/4/18,7,Jul,3,2018
146,1447296448,8/22/18,8,Aug,3,2018
147,1447363577,3/29/18,3,Mar,1,2018
148,1447320237,1/28/18,1,Jan,1,2018
149,1447202431,6/10/18,6,Jun,2,2018
150,1447211553,3/3/18,3,Mar,1,2018
151,1447219352,6/28/18,6,Jun,2,2018
152,1447320235,5/18/18,5,May,2,2018
153,1447158020,2/26/18,2,Feb,1,2018
154,1447260609,7/14/18,7,Jul,3,2018
155,1447158014,6/1/18,6,Jun,2,2018
156,1447191275,5/23/18,5,May,2,2018
157,1447170786,5/6/18,5,May,2,2018
158,1447138897,3/30/18,3,Mar,1,2018
159,1447240999,4/2/18,4,Apr,2,2018
160,1447320234,6/28/18,6,Jun,2,2018
161,1447351442,7/29/18,7,Jul,3,2018
162,1447381680,1/15/18,1,Jan,1,2018
163,1447178728,8/23/18,8,Aug,3,2018
164,1447398417,10/21/18,10,Oct,4,2018
