DEST_PORT_LOCATION_ID,DEST_PORT,DEST_PORT_CITY,DEST_PORT_STATE_NAME,DEST_PORT_STATE,DEST_PORT_LONGITUDE,DEST_PORT_LATITUDE
1,Camden,New Jersey,NJ,-75.12338257,39.93738174,PORT01
2,Philadelphia,Pennsylvania,PA,-75.09488,39.979031,PORT02
3,Boston,Massachusetts,MA,-71.0389415,42.3481664,PORT03
4,Miami,Florida,FL,-80.1779964,25.778567,PORT04
5,Wilmington,North Carolina,NC,-77.9479854,34.196556,PORT05
6,Baltimore,Maryland,MD,-76.6096734,39.2860811,PORT06
7,Bayonne,New Jersey,NJ,-74.547283,40.287226,PORT07
8,Charleston,South Carolina,SC,-79.9257181,32.7808424,PORT08
9,San Pedro,California,CA,-118.2813644,33.73823547,PORT09
10,Savannah,Georgia,GA,-81.150809,32.123742,PORT10
11,New York,New York,NY,-74.0056639,40.6830965,PORT11
