PLANT_LOCATION_ID,PLANT_CODE,PLANT_CITY,PLANT_STATE_NAME,PLANT_STATE,PLANT_LONGITUDE,PLANT_LATITUDE
12,PLANT01,Pottsville,Pennsylvania,PA,-76.182344,40.690894
13,PLANT02,Raymond,New Hampshire,NH,-71.1661286,43.0274128
14,PLANT03,Fort Pierce,Florida,FL,-80.3827964,27.4118942
15,PLANT04,Henderson,North Carolina,NC,-78.39128113,36.28921127
16,PLANT05,Smyrna,Delaware,DE,-75.626646,39.2888684
17,PLANT06,Williamsport,Maryland,MD,-77.807916,39.619286
18,PLANT07,Bethlehem,Pennsylvania,PA,-75.3227189,40.6112545
19,PLANT08,Arcadia,Florida,FL,-81.851939,27.239609
20,PLANT09,Mebane,North Carolina,NC,-79.262621,36.102563
21,PLANT10,Pedricktown,New Jersey,NJ,-75.408412,39.733769
22,PLANT11,Winter Haven,Florida,FL,-81.7556018,28.0462827
23,PLANT12,Davenport,Florida,FL,-81.74889,27.995134
24,PLANT13,Brooksville,Florida,FL,-82.2200794,28.5186767
25,PLANT14,Harrison,New Jersey,NJ,-74.161783,40.742177
26,PLANT15,Ridgeville,South Carolina,SC,-80.311951,33.102683
27,PLANT16,Mira Loma,California,CA,-117.558152,34.012427
28,PLANT17,Port Wentworth,Georgia,GA,-81.163168,32.149092
29,PLANT18,Johnsontown,New York,NY,-74.4067541,42.9868881
30,PLANT19,Alachua,Florida,FL,-82.468558,29.760911
